Method,Noise Rate,Seed,Accuracy
coteaching,0.0,43,83.66
baseline,0.0,43,85.25
coteaching,0.05,43,83.85
baseline,0.05,43,83.69
coteaching,0.1,43,84.11
baseline,0.1,43,83.38
coteaching,0.15,43,83.43
baseline,0.15,43,82.79
coteaching,0.2,43,82.21
baseline,0.2,43,81.51
coteaching,0.25,43,80.88
baseline,0.25,43,80.48
coteaching,0.3,43,79.94
baseline,0.3,43,79.26
coteaching,0.35,43,78.22
baseline,0.35,43,77.65
coteaching,0.4,43,76.95
baseline,0.4,43,76.48
coteaching,0.45,43,75.34
baseline,0.45,43,75.31
coteaching,0.5,43,74.13
baseline,0.5,43,73.34
coteaching,0.55,43,72.4
baseline,0.55,43,70.25
coteaching,0.6,43,69.61
baseline,0.6,43,67.55
coteaching,0.65,43,65.9
baseline,0.65,43,64.87
coteaching,0.7,43,58.15
baseline,0.7,43,59.81
